parameter,provenance_type,value,unit,crop,region,season,source,source_url,source_year,transformation,assumption,confidence,notes
crop.expected_yield,OBSERVED,"kharif None, rabi 1218",kg/ha,chickpea,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,63860.0,INR/ha,chickpea,,rabi,CACP cost x DES yield (C2 basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,5243 INR/q (C2) x 12.18 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 836, rabi None",kg/ha,pigeon_pea,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,42118.0,INR/ha,pigeon_pea,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,5038 INR/q (A2+FL) x 8.36 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 2080, rabi 2011",kg/ha,groundnut,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,100714.0,INR/ha,groundnut,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,4842 INR/q (A2+FL) x 20.80 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.cultivation_cost_per_ha,DERIVED,97373.0,INR/ha,groundnut,,rabi,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,4842 INR/q (A2+FL) x 20.11 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 1063, rabi None",kg/ha,soybean,,,"Soybean Processors Association of India (SOPA), kharif 2024",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,37758.0,INR/ha,soybean,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,3552 INR/q (A2+FL) x 10.63 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif None, rabi 1463",kg/ha,mustard,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,62821.0,INR/ha,mustard,,rabi,CACP cost x DES yield (C2 basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,4294 INR/q (C2) x 14.63 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 1257, rabi None",kg/ha,cotton,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,"Seed cotton (kapas) basis: lint 440 kg/ha (DES) / 0.35 ginning ratio = 1257 kg/ha kapas, consistent with seed-cotton MSP/cost. Ginning ratio 0.35 is an ICAR-typical value (documented assumption)."
crop.cultivation_cost_per_ha,DERIVED,64610.0,INR/ha,cotton,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,5140 INR/q (A2+FL) x 12.57 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif None, rabi 25000",kg/ha,potato,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,"25 t/ha; potato has no MSP price, so return/cost still open."
crop.expected_yield,OBSERVED,"kharif 16800, rabi 16800",kg/ha,onion,,,NHB National Horticulture Database (2019),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,16.8 t/ha national average (NHB 2019). Onion grown kharif/late-kharif/rabi; rabi ~60% of output. Still lacks sourced cost & market price -> not yet admitted.
crop.expected_yield,OBSERVED,"kharif 25000, rabi 25000",kg/ha,tomato,,,NHB Horticultural Statistics (production/area),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,~25 t/ha national (derived NHB production/area). Lacks sourced cost & market price -> not yet admitted. Confidence LOW.
crop.expected_yield,OBSERVED,"kharif 4193, rabi None",kg/ha,rice,,,DES state APY series (via CEIC),https://www.ceicdata.com/en/india/yield-of-foodgrains-in-major-states-rice/agricultural-yield-foodgrains-rice-punjab,2023,state-level yield override,Scope STATE:Punjab; overrides national figure for the mapped region.,HIGH,Partial exhaustive-state refinement; continue via DES APY portal https://data.desagri.gov.in/website/crops-apy-report-web
crop.expected_yield,OBSERVED,"kharif None, rabi 5045",kg/ha,wheat,,,DES state APY series (via CEIC),https://www.ceicdata.com/en/india/agriculture-yield-foodgrains-by-major-states-wheat/agricultural-yield-foodgrains-wheat-punjab,2024,state-level yield override,Scope STATE:Punjab; overrides national figure for the mapped region.,HIGH,Partial exhaustive-state refinement; continue via DES APY portal https://data.desagri.gov.in/website/crops-apy-report-web
crop.labour_pd_ha,SYNTHETIC_GROUNDED,per-crop table,person-days/ha,,,,ICAR/SAU package-of-practices; DES Cost-of-Cultivation labour component,,,,Representative national human-labour requirement; not a single sourced state table. Refine with DES CoC per state.,MEDIUM,Used for deterministic labour feasibility.
crop.soil_suitability_matrix,SYNTHETIC_GROUNDED,preferred/unsuitable soils per crop,rule,,,,Standard Indian agronomy (ICAR crop production practices),,,,"Conservative: only clear agronomic mismatches marked unsuitable (e.g. cotton on sandy, groundnut on heavy black soil). Documented.",MEDIUM,
crop.sowing_harvest_windows,SYNTHETIC_GROUNDED,kharif sow Jun-Jul/harvest Oct-Nov; rabi sow Oct-Nov/harvest Feb-Apr,month range,,,,Standard Indian kharif/rabi crop calendar,,,,Season-level windows; crop-specific durations from FAO-56 already stored.,MEDIUM,
crop.market_absorption_proxy,SYNTHETIC_GROUNDED,per-crop 0-1 index,index,,,,Relative national production/throughput ordering (DES production statistics),https://www.indiabudget.gov.in/economicsurvey/,,Normalised relative throughput ordering,"Index values are judgement-assigned from national production ordering, NOT computed from mandi arrivals. A PROXY for market-clearing capacity, explicitly NOT observed demand; used only to penalise oversupply vs typical throughput.",LOW,"This is a proxy, NOT demand and NOT observed. Never call it demand. Refine with AGMARKNET arrivals + processing capacity."
crop.yield_response_factor_ky,OBSERVED,1.09,Ky (dimensionless),rice,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,1.05,Ky (dimensionless),wheat,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,1.25,Ky (dimensionless),maize,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,0.9,Ky (dimensionless),sorghum,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,0.7,Ky (dimensionless),groundnut,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,0.85,Ky (dimensionless),soybean,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,0.85,Ky (dimensionless),cotton,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,1.1,Ky (dimensionless),potato,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,1.1,Ky (dimensionless),onion,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,OBSERVED,1.05,Ky (dimensionless),tomato,,,"FAO Irrigation & Drainage Paper 33 (Doorenbos & Kassam, 1979)",https://www.fao.org/3/x5648e/x5648e00.htm,1979,,,MEDIUM,Seasonal yield response to water deficit; used as a sensitivity parameter.
crop.yield_response_factor_ky,SYNTHETIC_EXPERIMENTAL,,Ky (dimensionless),pearl_millet,,,,,,,,REQUIRES_SOURCING,"No FAO-33 Ky; handled as an experimental scenario parameter (default 1.0), varied in sensitivity analysis per project directive."
crop.yield_response_factor_ky,SYNTHETIC_EXPERIMENTAL,,Ky (dimensionless),chickpea,,,,,,,,REQUIRES_SOURCING,"No FAO-33 Ky; handled as an experimental scenario parameter (default 1.0), varied in sensitivity analysis per project directive."
crop.yield_response_factor_ky,SYNTHETIC_EXPERIMENTAL,,Ky (dimensionless),pigeon_pea,,,,,,,,REQUIRES_SOURCING,"No FAO-33 Ky; handled as an experimental scenario parameter (default 1.0), varied in sensitivity analysis per project directive."
crop.yield_response_factor_ky,SYNTHETIC_EXPERIMENTAL,,Ky (dimensionless),mustard,,,,,,,,REQUIRES_SOURCING,"No FAO-33 Ky; handled as an experimental scenario parameter (default 1.0), varied in sensitivity analysis per project directive."
market.aggregation_protocol,SYNTHETIC_GROUNDED,"window=trailing 3 marketing years, monthly modal prices; mandi_selection=principal producing state APMC(s), mapped to region via REGION_STATE; central_tendency=season median of monthly modal prices; outliers=drop beyond 3x IQR before median; missing=carry-forward last valid month; flag if >30% missing; units=AGMARKNET Rs/quintal -> Rs/kg (÷100)",protocol,,,,AGMARKNET methodology (documented),https://agmarknet.gov.in/,,,Protocol defined; per-crop×region series not yet ingested (not machine-fetchable here).,MEDIUM,"MSP remains a labelled policy-floor reference, never the observed market price."
crop.market_price_per_kg,SYNTHETIC_GROUNDED,18.0,INR/kg,onion,,,Representative wholesale annual average (pending AGMARKNET series),https://agmarknet.gov.in/,,,Representative wholesale annual average; provisional pending AGMARKNET series under the documented protocol.,LOW,Vegetables have no MSP; this is the operational price. Refine with AGMARKNET.
crop.market_price_per_kg,SYNTHETIC_GROUNDED,15.0,INR/kg,tomato,,,Representative wholesale annual average (pending AGMARKNET series),https://agmarknet.gov.in/,,,Representative wholesale annual average; provisional pending AGMARKNET series under the documented protocol.,LOW,Vegetables have no MSP; this is the operational price. Refine with AGMARKNET.
crop.market_price_per_kg,SYNTHETIC_GROUNDED,11.0,INR/kg,potato,,,Representative wholesale annual average (pending AGMARKNET series),https://agmarknet.gov.in/,,,Representative wholesale annual average; provisional pending AGMARKNET series under the documented protocol.,LOW,Vegetables have no MSP; this is the operational price. Refine with AGMARKNET.
crop.market_price_per_kg,SYNTHETIC_EXPERIMENTAL,,INR/kg,,,,,,,,,REQUIRES_SOURCING,Grain/pulse/oilseed operational market prices via AGMARKNET (documented protocol) remain to be ingested for the FINAL experiment; MSP is the reference anchor meanwhile.
crop.expected_yield,SYNTHETIC_EXPERIMENTAL,,kg/ha,rice,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Agricultural Statistics at a Glance / district-season yield. DERIVATION: Use district- or state-and-season-specific yield where available; do NOT fall back to national yield when finer data exists. Record year + geography.
crop.cultivation_cost,SYNTHETIC_EXPERIMENTAL,,currency/ha,rice,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Cost of Cultivation / Cultivation Practices surveys (CACP CoC). DERIVATION: Use paid-out cost (A2) or A2+FL per study design; state which. State/season specific.
crop.price,SYNTHETIC_EXPERIMENTAL,,currency/kg,rice,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET modal mandi price (MSP from CACP for MSP-notified crops as a floor anchor). DERIVATION: Derive representative price from historical modal prices via a documented aggregation rule (e.g. season-median of monthly modal prices over N years, specified market set). Do NOT invent from a range. For MSP crops, record MSP separately as a policy floor, not as the market price."
crop.price_variability,SYNTHETIC_EXPERIMENTAL,,coefficient of variation,rice,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: AGMARKNET price series. DERIVATION: CV of the same aggregated price series used for `price`. Document window.
crop.market_absorption_proxy,SYNTHETIC_EXPERIMENTAL,,index (labelled proxy),rice,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET arrivals + processing/consumption studies. DERIVATION: EXPLICITLY a proxy for market-clearing capacity, NOT demand. Derive from arrivals capacity with a documented transformation; never label arrivals 'demand'."
crop.labour_requirement,SYNTHETIC_EXPERIMENTAL,,person-days/ha,rice,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / SAU package-of-practices; DES CoC labour component. DERIVATION: Crop-and-operation specific; state/season where available.
crop.drought_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,rice,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed water-stress response (FAO-33 Ky as fallback). DERIVATION: Prefer crop-specific Ky (yield response factor) from FAO-33 or ICAR trials. If defensible crop-specific values are unavailable, represent the shock via documented experimental scenario parameters + sensitivity analysis rather than pretending a coefficient is observed. (spec directive)"
crop.heat_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,rice,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed heat-stress studies. DERIVATION: Same rule as drought_sensitivity: sourced Ky-style value, or explicit experimental scenario parameter — never a fabricated observed coefficient."
crop.waterlogging_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,rice,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / peer-reviewed waterlogging studies. DERIVATION: Same rule; many crops lack defensible values -> likely scenario parameter.
crop.expected_yield,SYNTHETIC_EXPERIMENTAL,,kg/ha,wheat,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Agricultural Statistics at a Glance / district-season yield. DERIVATION: Use district- or state-and-season-specific yield where available; do NOT fall back to national yield when finer data exists. Record year + geography.
crop.cultivation_cost,SYNTHETIC_EXPERIMENTAL,,currency/ha,wheat,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Cost of Cultivation / Cultivation Practices surveys (CACP CoC). DERIVATION: Use paid-out cost (A2) or A2+FL per study design; state which. State/season specific.
crop.price,SYNTHETIC_EXPERIMENTAL,,currency/kg,wheat,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET modal mandi price (MSP from CACP for MSP-notified crops as a floor anchor). DERIVATION: Derive representative price from historical modal prices via a documented aggregation rule (e.g. season-median of monthly modal prices over N years, specified market set). Do NOT invent from a range. For MSP crops, record MSP separately as a policy floor, not as the market price."
crop.price_variability,SYNTHETIC_EXPERIMENTAL,,coefficient of variation,wheat,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: AGMARKNET price series. DERIVATION: CV of the same aggregated price series used for `price`. Document window.
crop.market_absorption_proxy,SYNTHETIC_EXPERIMENTAL,,index (labelled proxy),wheat,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET arrivals + processing/consumption studies. DERIVATION: EXPLICITLY a proxy for market-clearing capacity, NOT demand. Derive from arrivals capacity with a documented transformation; never label arrivals 'demand'."
crop.labour_requirement,SYNTHETIC_EXPERIMENTAL,,person-days/ha,wheat,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / SAU package-of-practices; DES CoC labour component. DERIVATION: Crop-and-operation specific; state/season where available.
crop.drought_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,wheat,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed water-stress response (FAO-33 Ky as fallback). DERIVATION: Prefer crop-specific Ky (yield response factor) from FAO-33 or ICAR trials. If defensible crop-specific values are unavailable, represent the shock via documented experimental scenario parameters + sensitivity analysis rather than pretending a coefficient is observed. (spec directive)"
crop.heat_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,wheat,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed heat-stress studies. DERIVATION: Same rule as drought_sensitivity: sourced Ky-style value, or explicit experimental scenario parameter — never a fabricated observed coefficient."
crop.waterlogging_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,wheat,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / peer-reviewed waterlogging studies. DERIVATION: Same rule; many crops lack defensible values -> likely scenario parameter.
crop.expected_yield,SYNTHETIC_EXPERIMENTAL,,kg/ha,maize,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Agricultural Statistics at a Glance / district-season yield. DERIVATION: Use district- or state-and-season-specific yield where available; do NOT fall back to national yield when finer data exists. Record year + geography.
crop.cultivation_cost,SYNTHETIC_EXPERIMENTAL,,currency/ha,maize,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Cost of Cultivation / Cultivation Practices surveys (CACP CoC). DERIVATION: Use paid-out cost (A2) or A2+FL per study design; state which. State/season specific.
crop.price,SYNTHETIC_EXPERIMENTAL,,currency/kg,maize,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET modal mandi price (MSP from CACP for MSP-notified crops as a floor anchor). DERIVATION: Derive representative price from historical modal prices via a documented aggregation rule (e.g. season-median of monthly modal prices over N years, specified market set). Do NOT invent from a range. For MSP crops, record MSP separately as a policy floor, not as the market price."
crop.price_variability,SYNTHETIC_EXPERIMENTAL,,coefficient of variation,maize,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: AGMARKNET price series. DERIVATION: CV of the same aggregated price series used for `price`. Document window.
crop.market_absorption_proxy,SYNTHETIC_EXPERIMENTAL,,index (labelled proxy),maize,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET arrivals + processing/consumption studies. DERIVATION: EXPLICITLY a proxy for market-clearing capacity, NOT demand. Derive from arrivals capacity with a documented transformation; never label arrivals 'demand'."
crop.labour_requirement,SYNTHETIC_EXPERIMENTAL,,person-days/ha,maize,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / SAU package-of-practices; DES CoC labour component. DERIVATION: Crop-and-operation specific; state/season where available.
crop.drought_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,maize,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed water-stress response (FAO-33 Ky as fallback). DERIVATION: Prefer crop-specific Ky (yield response factor) from FAO-33 or ICAR trials. If defensible crop-specific values are unavailable, represent the shock via documented experimental scenario parameters + sensitivity analysis rather than pretending a coefficient is observed. (spec directive)"
crop.heat_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,maize,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed heat-stress studies. DERIVATION: Same rule as drought_sensitivity: sourced Ky-style value, or explicit experimental scenario parameter — never a fabricated observed coefficient."
crop.waterlogging_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,maize,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / peer-reviewed waterlogging studies. DERIVATION: Same rule; many crops lack defensible values -> likely scenario parameter.
crop.expected_yield,SYNTHETIC_EXPERIMENTAL,,kg/ha,sorghum,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Agricultural Statistics at a Glance / district-season yield. DERIVATION: Use district- or state-and-season-specific yield where available; do NOT fall back to national yield when finer data exists. Record year + geography.
crop.cultivation_cost,SYNTHETIC_EXPERIMENTAL,,currency/ha,sorghum,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Cost of Cultivation / Cultivation Practices surveys (CACP CoC). DERIVATION: Use paid-out cost (A2) or A2+FL per study design; state which. State/season specific.
crop.price,SYNTHETIC_EXPERIMENTAL,,currency/kg,sorghum,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET modal mandi price (MSP from CACP for MSP-notified crops as a floor anchor). DERIVATION: Derive representative price from historical modal prices via a documented aggregation rule (e.g. season-median of monthly modal prices over N years, specified market set). Do NOT invent from a range. For MSP crops, record MSP separately as a policy floor, not as the market price."
crop.price_variability,SYNTHETIC_EXPERIMENTAL,,coefficient of variation,sorghum,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: AGMARKNET price series. DERIVATION: CV of the same aggregated price series used for `price`. Document window.
crop.market_absorption_proxy,SYNTHETIC_EXPERIMENTAL,,index (labelled proxy),sorghum,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET arrivals + processing/consumption studies. DERIVATION: EXPLICITLY a proxy for market-clearing capacity, NOT demand. Derive from arrivals capacity with a documented transformation; never label arrivals 'demand'."
crop.labour_requirement,SYNTHETIC_EXPERIMENTAL,,person-days/ha,sorghum,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / SAU package-of-practices; DES CoC labour component. DERIVATION: Crop-and-operation specific; state/season where available.
crop.drought_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,sorghum,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed water-stress response (FAO-33 Ky as fallback). DERIVATION: Prefer crop-specific Ky (yield response factor) from FAO-33 or ICAR trials. If defensible crop-specific values are unavailable, represent the shock via documented experimental scenario parameters + sensitivity analysis rather than pretending a coefficient is observed. (spec directive)"
crop.heat_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,sorghum,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed heat-stress studies. DERIVATION: Same rule as drought_sensitivity: sourced Ky-style value, or explicit experimental scenario parameter — never a fabricated observed coefficient."
crop.waterlogging_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,sorghum,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / peer-reviewed waterlogging studies. DERIVATION: Same rule; many crops lack defensible values -> likely scenario parameter.
crop.expected_yield,SYNTHETIC_EXPERIMENTAL,,kg/ha,pearl_millet,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Agricultural Statistics at a Glance / district-season yield. DERIVATION: Use district- or state-and-season-specific yield where available; do NOT fall back to national yield when finer data exists. Record year + geography.
crop.cultivation_cost,SYNTHETIC_EXPERIMENTAL,,currency/ha,pearl_millet,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: GoI DES — Cost of Cultivation / Cultivation Practices surveys (CACP CoC). DERIVATION: Use paid-out cost (A2) or A2+FL per study design; state which. State/season specific.
crop.price,SYNTHETIC_EXPERIMENTAL,,currency/kg,pearl_millet,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET modal mandi price (MSP from CACP for MSP-notified crops as a floor anchor). DERIVATION: Derive representative price from historical modal prices via a documented aggregation rule (e.g. season-median of monthly modal prices over N years, specified market set). Do NOT invent from a range. For MSP crops, record MSP separately as a policy floor, not as the market price."
crop.price_variability,SYNTHETIC_EXPERIMENTAL,,coefficient of variation,pearl_millet,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: AGMARKNET price series. DERIVATION: CV of the same aggregated price series used for `price`. Document window.
crop.market_absorption_proxy,SYNTHETIC_EXPERIMENTAL,,index (labelled proxy),pearl_millet,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: AGMARKNET arrivals + processing/consumption studies. DERIVATION: EXPLICITLY a proxy for market-clearing capacity, NOT demand. Derive from arrivals capacity with a documented transformation; never label arrivals 'demand'."
crop.labour_requirement,SYNTHETIC_EXPERIMENTAL,,person-days/ha,pearl_millet,,,,,,,,REQUIRES_SOURCING,PLANNED SOURCE: ICAR / SAU package-of-practices; DES CoC labour component. DERIVATION: Crop-and-operation specific; state/season where available.
crop.drought_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,pearl_millet,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed water-stress response (FAO-33 Ky as fallback). DERIVATION: Prefer crop-specific Ky (yield response factor) from FAO-33 or ICAR trials. If defensible crop-specific values are unavailable, represent the shock via documented experimental scenario parameters + sensitivity analysis rather than pretending a coefficient is observed. (spec directive)"
crop.heat_sensitivity,SYNTHETIC_EXPERIMENTAL,,yield-response index,pearl_millet,,,,,,,,REQUIRES_SOURCING,"PLANNED SOURCE: ICAR / peer-reviewed heat-stress studies. DERIVATION: Same rule as drought_sensitivity: sourced Ky-style value, or explicit experimental scenario parameter — never a fabricated observed coefficient."
